winner,loser
ucf,texas-am
texas-am,east-texas-a&m
texas-am,lamar
texas-am,ohio-state
texas-am,southern
oregon,texas-am
texas-am,creighton
texas-am,rutgers
texas-am,wake-forest
texas-am,texas-tech
texas-am,purdue
texas-am,houston-christian
texas-am,abilene-christian
texas-am,texas
texas-am,oklahoma
alabama,texas-am
kentucky,texas-am
texas-am,louisiana-state
texas-am,mississippi
texas,texas-am
texas-am,oklahoma
texas-am,south-carolina
texas-am,missouri
texas-am,georgia
texas-am,arkansas
mississippi-state,texas-am
tennessee,texas-am
vanderbilt,texas-am
florida,texas-am
texas-am,louisiana-state
texas,texas-am
texas-am,yale
michigan,texas-am
xavier,texas-southern
xavier,iu-indy
xavier,jackson-state
xavier,wake-forest
xavier,siena
xavier,south-carolina
xavier,south-carolina-state
tcu,xavier
xavier,morgan-state
cincinnati,xavier
xavier,seton-hall
georgetown,xavier
st.-john's-(ny),xavier
xavier,depaul
xavier,villanova
st.-john's-(ny),xavier
xavier,georgetown
villanova,xavier
xavier,providence
xavier,depaul
xavier,butler
xavier,seton-hall
xavier,butler
xavier,providence
maryland,manhattan
maryland,mount-st.-mary's
maryland,florida-a&m
maryland,canisius
maryland,villanova
maryland,bucknell
maryland,alcorn-state
maryland,ohio-state
maryland,saint-francis-(pa)
maryland,syracuse
maryland,maryland-eastern-shore
washington,maryland
maryland,minnesota
northwestern,maryland
maryland,nebraska
maryland,indiana
ohio-state,maryland
maryland,rutgers
maryland,nebraska
maryland,iowa
maryland,southern-california
maryland,penn-state
maryland,northwestern
maryland,grand-canyon
maryland,colorado-state
arizona,canisius
arizona,old-dominion
arizona,davidson
oklahoma,arizona
west-virginia,arizona
arizona,southern-utah
ucla,arizona
arizona,samford
arizona,central-michigan
arizona,tcu
arizona,cincinnati
arizona,west-virginia
arizona,ucf
arizona,baylor
texas-tech,arizona
arizona,oklahoma-state
arizona,colorado
arizona,arizona-state
arizona,brigham-young
arizona,texas-tech
kansas-state,arizona
houston,arizona
arizona,baylor
brigham-young,arizona
arizona,utah
arizona,arizona-state
kansas,arizona
arizona,kansas
arizona,texas-tech
houston,arizona
arizona,akron
arizona,oregon
purdue,texas-a&m-corpus-christi
purdue,northern-kentucky
purdue,marshall
purdue,nc-state
penn-state,purdue
purdue,maryland
texas-a&m,purdue
purdue,toledo
purdue,minnesota
purdue,northwestern
purdue,rutgers
purdue,nebraska
purdue,washington
ohio-state,purdue
purdue,indiana
purdue,iowa
purdue,southern-california
indiana,purdue
purdue,ucla
purdue,rutgers
illinois,purdue
purdue,southern-california
purdue,high-point
purdue,mcneese-state
kansas,howard
kansas,north-carolina
kansas,oakland
kansas,unc-wilmington
kansas,furman
kansas,nc-state
kansas,brown
west-virginia,kansas
kansas,ucf
kansas,arizona-state
kansas,cincinnati
kansas,kansas-state
kansas,tcu
kansas,ucf
kansas-state,kansas
kansas,colorado
utah,kansas
kansas,oklahoma-state
kansas,colorado
kansas,ucf
arkansas,kansas
nebraska-omaha,mid-america-christian
nebraska-omaha,stetson
minnesota,nebraska-omaha
nevada-las-vegas,nebraska-omaha
southern-utah,nebraska-omaha
alabama-state,nebraska-omaha
nebraska-omaha,lamar
abilene-christian,nebraska-omaha
montana-state,nebraska-omaha
nebraska-omaha,sacramento-state
northern-iowa,nebraska-omaha
nebraska-omaha,cal-poly
nebraska-omaha,mount-marty
nebraska-omaha,north-dakota
nebraska-omaha,north-dakota-state
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota-state
nebraska-omaha,denver
nebraska-omaha,st.-thomas
nebraska-omaha,oral-roberts
south-dakota,nebraska-omaha
nebraska-omaha,denver
nebraska-omaha,north-dakota
nebraska-omaha,north-dakota-state
south-dakota-state,nebraska-omaha
st.-thomas,nebraska-omaha
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota
nebraska-omaha,oral-roberts
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota
nebraska-omaha,st.-thomas
st.-john's-(ny),nebraska-omaha
southern-illinois-edwardsville,westminster-(mo)
indiana,southern-illinois-edwardsville
southern-illinois-edwardsville,indiana-state
southern-illinois-edwardsville,western-michigan
southern-illinois-edwardsville,canisius
green-bay,southern-illinois-edwardsville
southern-illinois-edwardsville,st.-ambrose
north-florida,southern-illinois-edwardsville
southern-illinois-edwardsville,ball-state
southern-illinois-edwardsville,eureka
little-rock,southern-illinois-edwardsville
southeast-missouri-state,southern-illinois-edwardsville
southern-illinois-edwardsville,western-illinois
southern-illinois-edwardsville,lindenwood
southern-illinois-edwardsville,eastern-illinois
southern-illinois-edwardsville,tennessee-tech
southern-illinois-edwardsville,tennessee-state
tennessee-martin,southern-illinois-edwardsville
southern-illinois-edwardsville,southern-indiana
southern-illinois-edwardsville,morehead-state
lindenwood,southern-illinois-edwardsville
southern-illinois-edwardsville,western-illinois
southern-illinois-edwardsville,eastern-illinois
southern-illinois-edwardsville,tennessee-tech
tennessee-martin,southern-illinois-edwardsville
southern-illinois-edwardsville,tennessee-state
southern-illinois-edwardsville,morehead-state
southern-indiana,southern-illinois-edwardsville
southeast-missouri-state,southern-illinois-edwardsville
southern-illinois-edwardsville,little-rock
southern-illinois-edwardsville,tennessee-state
southern-illinois-edwardsville,southeast-missouri-state
south-dakota-state,mcneese-state
mcneese-state,college-of-biblical-studies
mcneese-state,north-texas
mcneese-state,illinois-state
mcneese-state,longwood
santa-clara,mcneese-state
mcneese-state,letourneau
mcneese-state,louisiana
mcneese-state,new-orleans
mcneese-state,southeastern-louisiana
mcneese-state,east-texas-a&m
mcneese-state,northwestern-state
mcneese-state,nicholls-state
mcneese-state,houston-christian
mcneese-state,lamar
mcneese-state,stephen-f.-austin
mcneese-state,texas-rio-grande-valley
mcneese-state,texas-a&m-corpus-christi
nicholls-state,mcneese-state
mcneese-state,incarnate-word
mcneese-state,northwestern-state
mcneese-state,east-texas-a&m
mcneese-state,new-orleans
mcneese-state,southeastern-louisiana
mcneese-state,texas-a&m-corpus-christi
mcneese-state,texas-rio-grande-valley
mcneese-state,lamar
mcneese-state,stephen-f.-austin
mcneese-state,northwestern-state
mcneese-state,lamar
norfolk-state,penn-st.-wilkes-barre
norfolk-state,virginia-lynchburg
norfolk-state,james-madison
william-&-mary,norfolk-state
norfolk-state,hampton
stanford,norfolk-state
grand-canyon,norfolk-state
norfolk-state,uc-davis
norfolk-state,stony-brook
hofstra,norfolk-state
baylor,norfolk-state
northern-kentucky,norfolk-state
norfolk-state,alabama-state
norfolk-state,grambling
norfolk-state,high-point
tennessee,norfolk-state
norfolk-state,maryland-eastern-shore
norfolk-state,delaware-state
norfolk-state,coppin-state
morgan-state,norfolk-state
norfolk-state,washington-adventist
norfolk-state,howard
norfolk-state,south-carolina-state
norfolk-state,north-carolina-central
norfolk-state,maryland-eastern-shore
norfolk-state,delaware-state
norfolk-state,coppin-state
norfolk-state,morgan-state
south-carolina-state,norfolk-state
north-carolina-central,norfolk-state
norfolk-state,howard
norfolk-state,maryland-eastern-shore
norfolk-state,morgan-state
norfolk-state,south-carolina-state
florida,norfolk-state
georgia,tennessee-tech
georgia,texas-southern
georgia,north-florida
georgia,georgia-tech
georgia,alabama-a&m
georgia,st.-john's-(ny)
georgia,jacksonville
georgia,notre-dame
georgia,grand-canyon
georgia,buffalo
georgia,charleston-southern
georgia,south-carolina-state
georgia,oklahoma
arkansas,georgia
florida,georgia
georgia,south-carolina
georgia,louisiana-state
texas-a&m,georgia
missouri,georgia
georgia,florida
georgia,texas
georgia,south-carolina
oklahoma,georgia
utah-state,alcorn-state
utah-state,charlotte
utah-state,westminster-(ut)
utah-state,iowa
utah-state,st.-bonaventure
utah-state,north-texas
utah-state,wyoming
utah-state,utah-tech
utah-state,south-florida
uc-san-diego,utah-state
utah-state,saint-mary's-(ca)
utah-state,san-diego-state
utah-state,nevada
utah-state,fresno-state
utah-state,san-jose-state
utah-state,boise-state
nevada-las-vegas,utah-state
utah-state,nevada
utah-state,air-force
utah-state,nevada-las-vegas
utah-state,wyoming
utah-state,fresno-state
utah-state,colorado-state
utah-state,san-jose-state
utah-state,san-diego-state
boise-state,utah-state
colorado-state,utah-state
utah-state,air-force
utah-state,nevada-las-vegas
colorado-state,utah-state
marquette,stony-brook
marquette,george-mason
marquette,central-michigan
marquette,maryland
marquette,purdue
marquette,georgia
marquette,stonehill
marquette,western-carolina
marquette,wisconsin
dayton,marquette
marquette,butler
marquette,xavier
marquette,providence
marquette,creighton
marquette,georgetown
marquette,depaul
xavier,marquette
marquette,seton-hall
marquette,villanova
marquette,butler
connecticut,marquette
st.-john's-(ny),marquette
creighton,marquette
marquette,depaul
marquette,seton-hall
villanova,marquette
marquette,providence
marquette,georgetown
connecticut,marquette
st.-john's-(ny),marquette
marquette,xavier
st.-john's-(ny),marquette
new-mexico,marquette
illinois,eastern-illinois
illinois,southern-illinois-edwardsville
illinois,oakland
illinois,maryland-eastern-shore
illinois,little-rock
illinois,arkansas
northwestern,illinois
illinois,missouri
illinois,chicago-state
illinois,washington
illinois,penn-state
southern-california,illinois
illinois,indiana
maryland,illinois
illinois,northwestern
nebraska,illinois
illinois,ohio-state
rutgers,illinois
illinois,minnesota
illinois,ucla
