winner,loser
Duke,Dartmouth
Arizona,Duke
Duke,Michigan State
Duke,Bucknell
Duke,La Salle
Duke,Southern Indiana
Arkansas,Duke
Georgia Tech,Duke
Duke,Charlotte
Duke,Hofstra
Duke,Baylor
Duke,Queens (NC)
Duke,Syracuse
Duke,Notre Dame
Duke,Pittsburgh
Duke,Georgia Tech
Pittsburgh,Duke
Duke,Louisville
Duke,Clemson
Duke,Virginia Tech
North Carolina,Duke
Duke,Notre Dame
Duke,Boston College
Duke,Wake Forest
Duke,Florida State
Duke,Miami (FL)
Wake Forest,Duke
Duke,Louisville
Duke,Virginia
Duke,NC State
North Carolina,Duke
Opponent,Duke
NC State,Duke
Opponent,Duke
Duke,Vermont
Duke,James Madison
Duke,Houston
NC State,Duke
