winner,loser
arkansas-state,akron
akron,ohio-wesleyan
saint-mary's-(ca),akron
opponent,akron
akron,lamar
akron,omaha
akron,alabama-state
opponent,akron
akron,northern-kentucky
akron,brockport
milwaukee,akron
akron,jackson-state
princeton,akron
akron,bowling-green-state
akron,central-michigan
akron,eastern-michigan
akron,toledo
akron,ohio
akron,buffalo
akron,miami-(oh)
akron,northern-illinois
akron,kent-state
akron,ball-state
akron,south-alabama
akron,western-michigan
akron,central-michigan
akron,northern-illinois
ohio,akron
akron,ball-state
akron,kent-state
akron,toledo
akron,buffalo
opponent,akron
akron,bowling-green-state
akron,toledo
akron,miami-(oh)
opponent,akron
