winner,loser
nevada-las-vegas,alabama-state
louisiana-state,alabama-state
alabama-state,virginia-lynchburg
opponent,alabama-state
alabama-state,omaha
alabama-state,lamar
opponent,alabama-state
cincinnati,alabama-state
southern-methodist,alabama-state
southern-mississippi,alabama-state
alabama-state,tennessee-martin
delaware-state,alabama-state
alabama-state,mississippi-valley-state
alabama-state,arkansas-pine-bluff
jackson-state,alabama-state
alcorn-state,alabama-state
alabama-state,alabama-a&m
alabama-state,prairie-view
texas-southern,alabama-state
bethune-cookman,alabama-state
alabama-state,florida-a&m
grambling,alabama-state
alabama-state,southern
alabama-state,arkansas-pine-bluff
alabama-state,mississippi-valley-state
alabama-state,florida-a&m
bethune-cookman,alabama-state
alabama-state,alabama-a&m
alabama-state,southern
alabama-state,grambling
opponent,alabama-state
alabama-state,texas-southern
alabama-state,grambling
alabama-state,jackson-state
opponent,alabama-state
