winner,loser
la-salle,american
american,harvard
siena,american
north-carolina,american
american,kansas-city
american,puerto-ricoâbayamon
american,albany-(ny)
american,notre-dame-(md)
american,george-washington
saint-joseph's,american
virginia,american
maryland-baltimore-county,american
navy,american
american,holy-cross
boston-university,american
american,bucknell
american,loyola-(md)
american,holy-cross
american,lehigh
american,colgate
american,lafayette
american,army
bucknell,american
american,lehigh
american,lafayette
american,loyola-(md)
army,american
american,boston-university
navy,american
american,colgate
opponent,american
american,lafayette
american,colgate
american,navy
opponent,american
mount-st.-mary's,american
