winner,loser
arizona,canisius
arizona,old-dominion
arizona,davidson
oklahoma,arizona
west-virginia,arizona
arizona,southern-utah
ucla,arizona
arizona,samford
arizona,central-michigan
arizona,tcu
arizona,cincinnati
arizona,west-virginia
arizona,ucf
arizona,baylor
texas-tech,arizona
arizona,oklahoma-state
arizona,colorado
arizona,arizona-state
arizona,brigham-young
arizona,texas-tech
kansas-state,arizona
houston,arizona
arizona,baylor
brigham-young,arizona
arizona,utah
arizona,arizona-state
kansas,arizona
opponent,arizona
arizona,kansas
arizona,texas-tech
houston,arizona
opponent,arizona
akron,arizona
