winner,loser
gonzaga,baylor
baylor,arkansas
baylor,sam-houston
baylor,tarleton-state
baylor,st.-john's-(ny)
tennessee,baylor
baylor,new-orleans
connecticut,baylor
baylor,abilene-christian
baylor,arlington-baptist
baylor,utah
baylor,cincinnati
baylor,arizona-state
tcu,baylor
baylor,kansas-state
baylor,utah
brigham-young,baylor
baylor,kansas
texas-tech,baylor
baylor,ucf
houston,baylor
baylor,west-virginia
colorado,baylor
cincinnati,baylor
baylor,oklahoma-state
baylor,tcu
houston,baylor
opponent,baylor
baylor,kansas-state
texas-tech,baylor
opponent,baylor
