winner,loser
brigham-young,central-arkansas
brigham-young,uc-riverside
brigham-young,queens-(nc)
brigham-young,idaho
brigham-young,mississippi-valley-state
brigham-young,nc-state
providence,brigham-young
brigham-young,fresno-state
brigham-young,wyoming
brigham-young,florida-a&m
brigham-young,arizona-state
tcu,brigham-young
brigham-young,oklahoma-state
utah,brigham-young
brigham-young,colorado
brigham-young,cincinnati
brigham-young,ucf
cincinnati,brigham-young
brigham-young,west-virginia
brigham-young,kansas-state
brigham-young,arizona-state
brigham-young,west-virginia
brigham-young,utah
opponent,brigham-young
opponent,brigham-young
virginia-commonwealth,brigham-young
