winner,loser
bryant,dean
siena,bryant
bryant,buffalo
bryant,delaware
stonehill,bryant
st.-bonaventure,bryant
bryant,tennessee-state
chattanooga,bryant
bryant,drexel
brown,bryant
bryant,vermont-stateâjohnson
st.-john's-(ny),bryant
fordham,bryant
towson,bryant
grand-canyon,bryant
bryant,maine
bryant,vermont
bryant,albany-(ny)
bryant,massachusetts-lowell
bryant,new-hampshire
bryant,binghamton
bryant,maryland-baltimore-county
bryant,njit
albany-(ny),bryant
bryant,binghamton
bryant,njit
bryant,maryland-baltimore-county
vermont,bryant
bryant,massachusetts-lowell
bryant,maine
bryant,new-hampshire
opponent,bryant
bryant,maryland-baltimore-county
bryant,albany-(ny)
bryant,maine
opponent,bryant
