winner,loser
san-diego-state,california-san-diego
california-san-diego,pepperdine
california-san-diego,sacramento-state
seattle,california-san-diego
california-san-diego,la-salle
california-san-diego,james-madison
california-san-diego,toledo
california-san-diego,la-verne
california-san-diego,uc-santa-barbara
california-san-diego,cal-state-bakersfield
california-san-diego,idaho
california-san-diego,utah-state
california-san-diego,san-diego
california-san-diego,occidental
california-san-diego,cal-state-fullerton
california-san-diego,cal-poly
uc-irvine,california-san-diego
california-san-diego,long-beach-state
uc-riverside,california-san-diego
california-san-diego,uc-santa-barbara
california-san-diego,cal-state-northridge
california-san-diego,hawaii
california-san-diego,uc-riverside
california-san-diego,uc-irvine
california-san-diego,cal-state-bakersfield
california-san-diego,uc-davis
california-san-diego,cal-poly
california-san-diego,hawaii
california-san-diego,cal-state-northridge
california-san-diego,cal-state-fullerton
california-san-diego,long-beach-state
california-san-diego,uc-davis
opponent,california-san-diego
california-san-diego,uc-santa-barbara
california-san-diego,uc-irvine
opponent,california-san-diego
