winner,loser
clemson,charleston-southern
clemson,saint-francis-(pa)
clemson,eastern-kentucky
boise-state,clemson
clemson,radford
clemson,san-francisco
clemson,penn-state
clemson,florida-a&m
clemson,miami-(fl)
memphis,clemson
south-carolina,clemson
clemson,wake-forest
clemson,stanford
clemson,california
clemson,florida-state
clemson,georgia-tech
clemson,pittsburgh
clemson,syracuse
clemson,virginia-tech
clemson,nc-state
georgia-tech,clemson
clemson,north-carolina
clemson,florida-state
clemson,southern-methodist
clemson,notre-dame
clemson,virginia
clemson,boston-college
clemson,virginia-tech
opponent,clemson
clemson,southern-methodist
opponent,clemson
mcneese-state,clemson
