winner,loser
colorado-state,north-dakota
colorado-state,tennessee-state
colorado-state,denver
uc-riverside,colorado-state
washington,colorado-state
colorado-state,tcu
colorado-state,loyola-marymount
colorado,colorado-state
virginia-commonwealth,colorado-state
colorado-state,radford
colorado-state,nevada
colorado-state,san-jose-state
colorado-state,fresno-state
colorado-state,nevada-las-vegas
colorado-state,wyoming
colorado-state,boise-state
colorado-state,fresno-state
colorado-state,air-force
colorado-state,wyoming
colorado-state,nevada
colorado-state,nevada-las-vegas
colorado-state,air-force
colorado-state,san-jose-state
colorado-state,boise-state
opponent,colorado-state
colorado-state,nevada
colorado-state,boise-state
opponent,colorado-state
