winner,loser
creighton,texas-rio-grande-valley
creighton,fdu
creighton,houston-christian
creighton,kansas-city
nebraska,creighton
san-diego-state,creighton
texas-a&m,creighton
creighton,notre-dame
creighton,kansas
creighton,nevada-las-vegas
alabama,creighton
georgetown,creighton
creighton,villanova
creighton,st.-john's-(ny)
creighton,butler
creighton,providence
creighton,connecticut
creighton,depaul
creighton,seton-hall
creighton,xavier
creighton,villanova
creighton,providence
connecticut,creighton
st.-john's-(ny),creighton
creighton,georgetown
creighton,depaul
xavier,creighton
creighton,seton-hall
creighton,butler
opponent,creighton
creighton,depaul
creighton,connecticut
st.-john's-(ny),creighton
opponent,creighton
