winner,loser
drake,york-(ne)
drake,stephen-f.-austin
drake,florida-gulf-coast
drake,miami-(fl)
drake,florida-atlantic
drake,georgia-southern
drake,valparaiso
drake,st.-ambrose
drake,kansas-state
drake,green-bay
drake,belmont
illinois-chicago,drake
murray-state,drake
drake,bradley
drake,evansville
drake,illinois-state
drake,indiana-state
drake,valparaiso
drake,missouri-state
drake,northern-iowa
drake,southern-illinois
drake,murray-state
drake,indiana-state
drake,illinois-state
bradley,drake
drake,illinois-chicago
drake,northern-iowa
drake,evansville
drake,missouri-state
opponent,drake
drake,southern-illinois
drake,belmont
drake,bradley
opponent,drake
