winner,loser
duke,maine
duke,army
kentucky,duke
duke,wofford
duke,arizona
kansas,duke
duke,seattle
duke,incarnate-word
duke,george-mason
duke,georgia-tech
duke,virginia-tech
duke,southern-methodist
duke,pittsburgh
duke,notre-dame
duke,miami-(fl)
duke,boston-college
duke,wake-forest
duke,nc-state
duke,north-carolina
duke,syracuse
clemson,duke
duke,california
duke,stanford
duke,virginia
duke,illinois
duke,miami-(fl)
duke,florida-state
duke,wake-forest
duke,north-carolina
opponent,duke
duke,georgia-tech
duke,north-carolina
