winner,loser
georgia,tennessee-tech
georgia,texas-southern
georgia,north-florida
georgia,georgia-tech
georgia,alabama-a&m
georgia,st.-john's-(ny)
georgia,jacksonville
georgia,notre-dame
georgia,grand-canyon
georgia,buffalo
georgia,charleston-southern
georgia,south-carolina-state
georgia,oklahoma
arkansas,georgia
florida,georgia
georgia,south-carolina
georgia,louisiana-state
texas-a&m,georgia
missouri,georgia
georgia,florida
georgia,texas
georgia,south-carolina
opponent,georgia
oklahoma,georgia
opponent,georgia
