winner,loser
high-point,coppin-state
high-point,jackson-state
high-point,north-carolina-central
high-point,uab
high-point,american
missouri-state,high-point
high-point,old-dominion
high-point,hampton
high-point,pfeiffer
unc-greensboro,high-point
high-point,north-texas
high-point,appalachian-state
high-point,carolina
high-point,southern-illinois
high-point,radford
unc-asheville,high-point
high-point,charleston-southern
high-point,gardner-webb
longwood,high-point
high-point,presbyterian
high-point,south-carolina-upstate
high-point,winthrop
high-point,presbyterian
high-point,radford
high-point,unc-asheville
high-point,longwood
high-point,winthrop
high-point,charleston-southern
high-point,gardner-webb
high-point,south-carolina-upstate
opponent,high-point
high-point,gardner-webb
high-point,radford
high-point,winthrop
opponent,high-point
