winner,loser
liberty,valparaiso
liberty,seattle
liberty,carolina
florida-atlantic,liberty
liberty,college-of-charleston
liberty,louisiana
liberty,kansas-state
liberty,mcneese-state
liberty,central-pennsylvania-college
liberty,mississippi-valley-state
liberty,north-carolina-a&t
liberty,st.-andrews
liberty,ut-arlington
western-kentucky,liberty
liberty,middle-tennessee
liberty,sam-houston
louisiana-tech,liberty
utep,liberty
liberty,new-mexico-state
liberty,florida-international
liberty,kennesaw-state
jacksonville-state,liberty
liberty,louisiana-tech
liberty,sam-houston
liberty,new-mexico-state
liberty,utep
liberty,florida-international
liberty,jacksonville-state
kennesaw-state,liberty
liberty,middle-tennessee
liberty,western-kentucky
opponent,liberty
liberty,utep
liberty,kennesaw-state
liberty,jacksonville-state
opponent,liberty
