winner,loser
louisville,morehead-state
tennessee,louisville
louisville,bellarmine
louisville,winthrop
louisville,indiana
louisville,west-virginia
oklahoma,louisville
duke,louisville
louisville,utep
kentucky,louisville
louisville,florida-state
louisville,eastern-kentucky
louisville,north-carolina
louisville,virginia
louisville,clemson
louisville,pittsburgh
louisville,syracuse
louisville,virginia
louisville,southern-methodist
louisville,wake-forest
georgia-tech,louisville
louisville,boston-college
louisville,miami-(fl)
louisville,nc-state
louisville,notre-dame
louisville,florida-state
louisville,virginia-tech
louisville,pittsburgh
louisville,california
louisville,stanford
opponent,louisville
louisville,stanford
louisville,clemson
duke,louisville
opponent,louisville
creighton,louisville
