winner,loser
marquette,stony-brook
marquette,george-mason
marquette,central-michigan
marquette,maryland
marquette,purdue
marquette,georgia
marquette,stonehill
marquette,western-carolina
marquette,wisconsin
dayton,marquette
marquette,butler
marquette,xavier
marquette,providence
marquette,creighton
marquette,georgetown
marquette,depaul
xavier,marquette
marquette,seton-hall
marquette,villanova
marquette,butler
connecticut,marquette
st.-john's-(ny),marquette
creighton,marquette
marquette,depaul
marquette,seton-hall
villanova,marquette
marquette,providence
marquette,georgetown
connecticut,marquette
st.-john's-(ny),marquette
opponent,marquette
marquette,xavier
st.-john's-(ny),marquette
opponent,marquette
new-mexico,marquette
