winner,loser
maryland,manhattan
maryland,mount-st.-mary's
maryland,florida-a&m
maryland,canisius
maryland,villanova
maryland,bucknell
maryland,alcorn-state
maryland,ohio-state
maryland,saint-francis-(pa)
maryland,syracuse
maryland,maryland-eastern-shore
washington,maryland
maryland,minnesota
northwestern,maryland
maryland,nebraska
maryland,indiana
ohio-state,maryland
maryland,rutgers
maryland,nebraska
maryland,iowa
maryland,southern-california
maryland,penn-state
maryland,northwestern
opponent,maryland
grand-canyon,maryland
