winner,loser
south-dakota-state,mcneese-state
mcneese-state,college-of-biblical-studies
mcneese-state,north-texas
mcneese-state,illinois-state
mcneese-state,longwood
santa-clara,mcneese-state
mcneese-state,letourneau
mcneese-state,louisiana
mcneese-state,new-orleans
mcneese-state,southeastern-louisiana
mcneese-state,east-texas-a&m
mcneese-state,northwestern-state
mcneese-state,nicholls-state
mcneese-state,houston-christian
mcneese-state,lamar
mcneese-state,stephen-f.-austin
mcneese-state,texas-rio-grande-valley
mcneese-state,texas-a&m-corpus-christi
nicholls-state,mcneese-state
mcneese-state,incarnate-word
mcneese-state,northwestern-state
mcneese-state,east-texas-a&m
mcneese-state,new-orleans
mcneese-state,southeastern-louisiana
mcneese-state,texas-a&m-corpus-christi
mcneese-state,texas-rio-grande-valley
mcneese-state,lamar
mcneese-state,stephen-f.-austin
opponent,mcneese-state
mcneese-state,northwestern-state
mcneese-state,lamar
opponent,mcneese-state
