winner,loser
mississippi-state,west-georgia
mississippi-state,georgia-state
mississippi-state,southeastern-louisiana
mississippi-state,utah
mississippi-state,southern-methodist
mississippi-state,nevada-las-vegas
butler,mississippi-state
mississippi-state,pittsburgh
mississippi-state,prairie-view
mississippi-state,mcneese-state
mississippi-state,central-michigan
mississippi-state,memphis
mississippi-state,bethune-cookman
mississippi-state,south-carolina
mississippi-state,vanderbilt
kentucky,mississippi-state
tennessee,mississippi-state
mississippi-state,south-carolina
missouri,mississippi-state
mississippi-state,georgia
florida,mississippi-state
mississippi-state,texas-a&m
oklahoma,mississippi-state
mississippi-state,louisiana-state
texas,mississippi-state
arkansas,mississippi-state
opponent,mississippi-state
mississippi-state,louisiana-state
missouri,mississippi-state
opponent,mississippi-state
baylor,mississippi-state
