winner,loser
north-carolina,elon
north-carolina,hawaii
north-carolina,dayton
north-carolina,georgia-tech
north-carolina,la-salle
north-carolina,campbell
north-carolina,notre-dame
north-carolina,southern-methodist
north-carolina,nc-state
north-carolina,california
stanford,north-carolina
wake-forest,north-carolina
north-carolina,boston-college
pittsburgh,north-carolina
north-carolina,pittsburgh
north-carolina,syracuse
north-carolina,nc-state
north-carolina,virginia
north-carolina,florida-state
north-carolina,miami-(fl)
north-carolina,virginia-tech
opponent,north-carolina
north-carolina,notre-dame
north-carolina,wake-forest
opponent,north-carolina
