winner,loser
oregon,uc-riverside
oregon,montana
oregon,portland
oregon,troy
oregon,oregon-state
oregon,texas-a&m
oregon,san-diego-state
oregon,southern-california
ucla,oregon
oregon,stephen-f.-austin
oregon,stanford
oregon,weber-state
illinois,oregon
oregon,maryland
oregon,ohio-state
oregon,penn-state
purdue,oregon
oregon,washington
minnesota,oregon
ucla,oregon
nebraska,oregon
oregon,northwestern
oregon,rutgers
oregon,iowa
oregon,southern-california
oregon,indiana
oregon,washington
oregon,indiana
opponent,oregon
liberty,oregon
