winner,loser
west-virginia,robert-morris
delaware,robert-morris
robert-morris,chatham
robert-morris,stonehill
robert-morris,lindenwood
robert-morris,new-orleans
robert-morris,cornell
robert-morris,canisius
ohio,robert-morris
youngstown-state,robert-morris
purdue-fort-wayne,robert-morris
robert-morris,towson
robert-morris,saint-francis-(pa)
robert-morris,northern-kentucky
detroit-mercy,robert-morris
robert-morris,oakland
cleveland-state,robert-morris
robert-morris,wright-state
robert-morris,green-bay
robert-morris,milwaukee
robert-morris,youngstown-state
robert-morris,oakland
robert-morris,iu-indy
wright-state,robert-morris
robert-morris,detroit-mercy
robert-morris,northern-kentucky
robert-morris,cleveland-state
robert-morris,purdue-fort-wayne
robert-morris,green-bay
robert-morris,milwaukee
robert-morris,iu-indy
opponent,robert-morris
robert-morris,wright-state
robert-morris,oakland
robert-morris,youngstown-state
opponent,robert-morris
alabama,robert-morris
