winner,loser
southern-illinois-edwardsville,westminster-(mo)
indiana,southern-illinois-edwardsville
southern-illinois-edwardsville,indiana-state
southern-illinois-edwardsville,western-michigan
southern-illinois-edwardsville,canisius
green-bay,southern-illinois-edwardsville
southern-illinois-edwardsville,st.-ambrose
north-florida,southern-illinois-edwardsville
southern-illinois-edwardsville,ball-state
southern-illinois-edwardsville,eureka
little-rock,southern-illinois-edwardsville
southeast-missouri-state,southern-illinois-edwardsville
southern-illinois-edwardsville,western-illinois
southern-illinois-edwardsville,lindenwood
southern-illinois-edwardsville,eastern-illinois
southern-illinois-edwardsville,tennessee-tech
southern-illinois-edwardsville,tennessee-state
tennessee-martin,southern-illinois-edwardsville
southern-illinois-edwardsville,southern-indiana
southern-illinois-edwardsville,morehead-state
lindenwood,southern-illinois-edwardsville
southern-illinois-edwardsville,western-illinois
southern-illinois-edwardsville,eastern-illinois
southern-illinois-edwardsville,tennessee-tech
tennessee-martin,southern-illinois-edwardsville
southern-illinois-edwardsville,tennessee-state
southern-illinois-edwardsville,morehead-state
southern-indiana,southern-illinois-edwardsville
southeast-missouri-state,southern-illinois-edwardsville
southern-illinois-edwardsville,little-rock
opponent,southern-illinois-edwardsville
southern-illinois-edwardsville,tennessee-state
southern-illinois-edwardsville,southeast-missouri-state
opponent,southern-illinois-edwardsville
