winner,loser
troy,toledo
troy,new-orleans
arkansas,troy
troy,west-georgia
troy,utsa
merrimack,troy
troy,eastern-kentucky
troy,middle-georgia-state
troy,lagrange
troy,georgia-state
troy,appalachian-state
troy,marshall
texas-state,troy
arkansas-state,troy
troy,louisiana-monroe
south-alabama,troy
troy,south-alabama
troy,southern-mississippi
troy,georgia-southern
troy,louisiana-monroe
james-madison,troy
miami-(oh),troy
troy,louisiana
troy,arkansas-state
louisiana,troy
troy,coastal-carolina
troy,texas-state
troy,southern-mississippi
opponent,troy
troy,old-dominion
troy,james-madison
troy,arkansas-state
opponent,troy
