winner,loser
utah-state,alcorn-state
utah-state,charlotte
utah-state,westminster-(ut)
utah-state,iowa
opponent,utah-state
utah-state,st.-bonaventure
utah-state,north-texas
opponent,utah-state
utah-state,wyoming
utah-state,utah-tech
utah-state,south-florida
uc-san-diego,utah-state
utah-state,saint-mary's-(ca)
utah-state,san-diego-state
utah-state,nevada
utah-state,fresno-state
utah-state,san-jose-state
utah-state,boise-state
nevada-las-vegas,utah-state
utah-state,nevada
utah-state,air-force
utah-state,nevada-las-vegas
utah-state,wyoming
utah-state,fresno-state
utah-state,colorado-state
utah-state,san-jose-state
utah-state,san-diego-state
boise-state,utah-state
colorado-state,utah-state
utah-state,air-force
opponent,utah-state
utah-state,nevada-las-vegas
colorado-state,utah-state
opponent,utah-state
