winner,loser
vanderbilt,maryland-eastern-shore
vanderbilt,southeast-missouri-state
vanderbilt,california
vanderbilt,jackson-state
vanderbilt,nevada
vanderbilt,seton-hall
drake,vanderbilt
vanderbilt,tennessee-tech
vanderbilt,virginia-tech
vanderbilt,tcu
vanderbilt,the-citadel
vanderbilt,austin-peay
vanderbilt,new-orleans
vanderbilt,louisiana-state
missouri,vanderbilt
vanderbilt,south-carolina
vanderbilt,tennessee
vanderbilt,kentucky
oklahoma,vanderbilt
florida,vanderbilt
vanderbilt,texas
tennessee,vanderbilt
kentucky,vanderbilt
vanderbilt,texas-a&m
vanderbilt,missouri
arkansas,vanderbilt
georgia,vanderbilt
opponent,vanderbilt
texas,vanderbilt
opponent,vanderbilt
saint-mary's-(ca),vanderbilt
