winner,loser
virginia-commonwealth,bellarmine
virginia-commonwealth,boston-college
virginia-commonwealth,merrimack
virginia-commonwealth,loyola-(md)
seton-hall,virginia-commonwealth
nevada,virginia-commonwealth
virginia-commonwealth,miami-(fl)
virginia-commonwealth,elizabeth-city-state
virginia-commonwealth,georgia-southern
virginia-commonwealth,pennsylvania
virginia-commonwealth,william-&-mary
st.-bonaventure,virginia-commonwealth
virginia-commonwealth,loyola-(il)
virginia-commonwealth,fordham
virginia-commonwealth,saint-louis
virginia-commonwealth,saint-joseph's
virginia-commonwealth,rhode-island
virginia-commonwealth,st.-bonaventure
saint-louis,virginia-commonwealth
virginia-commonwealth,richmond
virginia-commonwealth,la-salle
virginia-commonwealth,dayton
virginia-commonwealth,george-washington
virginia-commonwealth,massachusetts
virginia-commonwealth,george-mason
virginia-commonwealth,richmond
virginia-commonwealth,davidson
virginia-commonwealth,duquesne
dayton,virginia-commonwealth
opponent,virginia-commonwealth
virginia-commonwealth,st.-bonaventure
virginia-commonwealth,loyola-(il)
virginia-commonwealth,george-mason
opponent,virginia-commonwealth
