winner,loser
alabama,unc-asheville
alabama,arkansas-state
alabama,mcneese-state
purdue,alabama
alabama,illinois
alabama,houston
alabama,rutgers
oregon,alabama
alabama,north-carolina
alabama,north-dakota
alabama,kent-state
alabama,south-dakota-state
alabama,oklahoma
alabama,south-carolina
alabama,texas-a&m
alabama,kentucky
alabama,vanderbilt
alabama,louisiana-state
alabama,mississippi-state
alabama,georgia
alabama,arkansas
alabama,texas
missouri,alabama
alabama,kentucky
alabama,mississippi-state
tennessee,alabama
florida,alabama
opponent,alabama
alabama,kentucky
florida,alabama
opponent,alabama
alabama,saint-mary's-(ca)
alabama,brigham-young
