winner,loser
auburn,vermont
auburn,houston
auburn,kent-state
auburn,north-alabama
auburn,iowa-state
auburn,north-carolina
auburn,memphis
duke,auburn
auburn,richmond
auburn,ohio-state
auburn,georgia-state
auburn,purdue
auburn,monmouth
auburn,missouri
auburn,texas
auburn,south-carolina
auburn,mississippi-state
auburn,georgia
auburn,tennessee
auburn,louisiana-state
auburn,mississippi
auburn,oklahoma
florida,auburn
auburn,vanderbilt
auburn,alabama
auburn,arkansas
auburn,georgia
auburn,mississippi
auburn,kentucky
texas-a&m,auburn
alabama,auburn
opponent,auburn
auburn,mississippi
tennessee,auburn
opponent,auburn
auburn,alabama-state
auburn,creighton
auburn,michigan
auburn,michigan-state
florida,auburn
