winner,loser
brigham-young,central-arkansas
brigham-young,uc-riverside
brigham-young,queens-(nc)
brigham-young,idaho
brigham-young,mississippi-valley-state
brigham-young,nc-state
providence,brigham-young
brigham-young,fresno-state
brigham-young,wyoming
brigham-young,florida-a&m
brigham-young,arizona-state
houston,brigham-young
texas-tech,brigham-young
tcu,brigham-young
brigham-young,oklahoma-state
utah,brigham-young
brigham-young,colorado
brigham-young,cincinnati
brigham-young,baylor
brigham-young,ucf
cincinnati,brigham-young
brigham-young,west-virginia
brigham-young,kansas-state
brigham-young,kansas
brigham-young,arizona-state
brigham-young,west-virginia
brigham-young,utah
opponent,brigham-young
houston,brigham-young
opponent,brigham-young
