winner,loser
connecticut,sacred-heart
connecticut,new-hampshire
connecticut,le-moyne
connecticut,east-texas-a&m
colorado,connecticut
dayton,connecticut
connecticut,maryland-eastern-shore
connecticut,texas
connecticut,xavier
connecticut,butler
connecticut,depaul
connecticut,providence
villanova,connecticut
connecticut,georgetown
connecticut,butler
xavier,connecticut
connecticut,depaul
st.-john's-(ny),connecticut
seton-hall,connecticut
connecticut,villanova
st.-john's-(ny),connecticut
connecticut,georgetown
connecticut,providence
connecticut,seton-hall
opponent,connecticut
connecticut,villanova
opponent,connecticut
connecticut,oklahoma
