winner,loser
florida,south-florida
florida,jacksonville
florida,grambling
florida,florida-state
florida,florida-a&m
florida,southern-illinois
florida,wake-forest
florida,wichita-state
florida,virginia
florida,arizona-state
florida,north-carolina
florida,north-florida
florida,stetson
florida,arkansas
missouri,florida
florida,texas
florida,south-carolina
florida,south-carolina
florida,oklahoma
florida,louisiana-state
florida,texas-a&m
opponent,florida
florida,missouri
opponent,florida
florida,connecticut
florida,maryland
florida,texas-tech
