winner,loser
grand-canyon,cal-state-fullerton
grand-canyon,western-kentucky
arizona-state,grand-canyon
uc-davis,grand-canyon
grand-canyon,stanford
grand-canyon,hawaii
grand-canyon,life-pacific
louisiana-tech,grand-canyon
grand-canyon,chicago-state
grand-canyon,saint-louis
grand-canyon,san-diego
grand-canyon,southern-utah
utah-valley,grand-canyon
grand-canyon,abilene-christian
grand-canyon,tarleton-state
grand-canyon,southern-utah
grand-canyon,utah-tech
grand-canyon,seattle
grand-canyon,utah-valley
california-baptist,grand-canyon
grand-canyon,tarleton-state
grand-canyon,ut-arlington
grand-canyon,california-baptist
grand-canyon,ut-arlington
grand-canyon,seattle
grand-canyon,utah-tech
abilene-christian,grand-canyon
opponent,grand-canyon
grand-canyon,ut-arlington
grand-canyon,california-baptist
grand-canyon,utah-valley
opponent,grand-canyon
