winner,loser
illinois,eastern-illinois
illinois,southern-illinois-edwardsville
illinois,oakland
illinois,maryland-eastern-shore
illinois,little-rock
illinois,arkansas
northwestern,illinois
illinois,missouri
illinois,chicago-state
illinois,washington
illinois,penn-state
southern-california,illinois
illinois,indiana
maryland,illinois
illinois,northwestern
nebraska,illinois
illinois,ohio-state
rutgers,illinois
illinois,minnesota
illinois,ucla
illinois,iowa
opponent,illinois
illinois,iowa
maryland,illinois
opponent,illinois
illinois,xavier
