winner,loser
iowa-state,mississippi-valley-state
iowa-state,kansas-city
iowa-state,iu-indy
iowa-state,dayton
iowa-state,colorado
iowa-state,marquette
iowa-state,jackson-state
iowa-state,iowa
iowa-state,omaha
iowa-state,morgan-state
iowa-state,colorado
iowa-state,baylor
iowa-state,utah
iowa-state,texas-tech
iowa-state,kansas
west-virginia,iowa-state
iowa-state,ucf
iowa-state,arizona-state
arizona,iowa-state
kansas-state,iowa-state
kansas,iowa-state
iowa-state,tcu
iowa-state,ucf
iowa-state,cincinnati
iowa-state,colorado
houston,iowa-state
oklahoma-state,iowa-state
iowa-state,arizona
brigham-young,iowa-state
iowa-state,kansas-state
opponent,iowa-state
iowa-state,cincinnati
brigham-young,iowa-state
opponent,iowa-state
iowa-state,lipscomb
mississippi,iowa-state
