winner,loser
memphis,missouri
memphis,nevada-las-vegas
memphis,ohio
memphis,san-francisco
memphis,connecticut
memphis,louisiana-tech
arkansas-state,memphis
memphis,virginia
memphis,florida-atlantic
memphis,north-texas
memphis,east-carolina
temple,memphis
memphis,charlotte
memphis,wichita-state
memphis,uab
memphis,tulane
memphis,rice
memphis,tulsa
memphis,temple
memphis,south-florida
wichita-state,memphis
memphis,florida-atlantic
memphis,rice
memphis,uab
memphis,utsa
memphis,south-florida
opponent,memphis
memphis,wichita-state
memphis,tulane
memphis,uab
opponent,memphis
colorado-state,memphis
