winner,loser
michigan-state,monmouth
michigan-state,niagara
kansas,michigan-state
michigan-state,bowling-green-state
michigan-state,samford
michigan-state,colorado
memphis,michigan-state
michigan-state,north-carolina
michigan-state,minnesota
michigan-state,nebraska
michigan-state,oakland
michigan-state,florida-atlantic
michigan-state,western-michigan
michigan-state,ohio-state
michigan-state,washington
michigan-state,northwestern
michigan-state,penn-state
michigan-state,illinois
michigan-state,rutgers
michigan-state,minnesota
southern-california,michigan-state
ucla,michigan-state
michigan-state,oregon
indiana,michigan-state
michigan-state,illinois
michigan-state,purdue
michigan-state,michigan
michigan-state,maryland
michigan-state,wisconsin
michigan-state,iowa
michigan-state,michigan
opponent,michigan-state
michigan-state,oregon
wisconsin,michigan-state
opponent,michigan-state
michigan-state,bryant
michigan-state,new-mexico
michigan-state,mississippi
