winner,loser
michigan,cleveland-state
wake-forest,michigan
michigan,tcu
michigan,miami-(oh)
michigan,tarleton-state
michigan,virginia-tech
michigan,xavier
michigan,wisconsin
michigan,iowa
arkansas,michigan
oklahoma,michigan
michigan,purdue-fort-wayne
michigan,western-kentucky
michigan,southern-california
michigan,ucla
michigan,washington
minnesota,michigan
michigan,northwestern
purdue,michigan
michigan,penn-state
michigan,rutgers
michigan,oregon
michigan,indiana
michigan,purdue
michigan,ohio-state
michigan,nebraska
michigan,rutgers
illinois,michigan
maryland,michigan
opponent,michigan
michigan,purdue
michigan,maryland
michigan,wisconsin
opponent,michigan
michigan,uc-san-diego
michigan,texas-a&m
