winner,loser
mississippi,long-island-university
mississippi,grambling
mississippi,south-alabama
mississippi,colorado-state
mississippi,oral-roberts
mississippi,brigham-young
purdue,mississippi
mississippi,louisville
mississippi,lindenwood
mississippi,southern-mississippi
mississippi,southern
mississippi,queens-(nc)
memphis,mississippi
mississippi,georgia
mississippi,arkansas
mississippi,louisiana-state
mississippi,alabama
mississippi-state,mississippi
texas-a&m,mississippi
missouri,mississippi
mississippi,texas
mississippi,kentucky
mississippi,louisiana-state
mississippi,south-carolina
mississippi-state,mississippi
vanderbilt,mississippi
mississippi,oklahoma
mississippi,tennessee
florida,mississippi
opponent,mississippi
mississippi,arkansas
opponent,mississippi
mississippi,north-carolina
