winner,loser
montana,hawaii-hilo
montana,northwest-indian-college
tennessee,montana
utah-state,montana
montana,denver
montana,utah-tech
montana,cal-state-northridge
montana,south-dakota-state
st.-thomas,montana
montana,montana-tech
northern-iowa,montana
san-francisco,montana
montana,eastern-washington
montana,idaho
montana,northern-arizona
northern-colorado,montana
montana,weber-state
idaho-state,montana
montana,idaho
montana,montana-state
montana,portland-state
montana,sacramento-state
montana,northern-colorado
montana,northern-arizona
montana,idaho-state
montana,weber-state
montana,montana-state
montana,sacramento-state
portland-state,montana
montana,eastern-washington
opponent,montana
montana,northern-arizona
montana,idaho
montana,northern-colorado
opponent,montana
