winner,loser
mount-st-marys,notre-dame-(md)
mount-st-marys,bucknell
mount-st-marys,saint-francis-(pa)
georgetown,mount-st-marys
mount-st-marys,delaware-state
mount-st-marys,howard
marist,mount-st-marys
mount-st-marys,fairfield
loyola-(md),mount-st-marys
mount-st-marys,long-island-university
mount-st-marys,miami-(fl)
george-mason,mount-st-marys
mount-st-marys,niagara
mount-st-marys,manhattan
mount-st-marys,sacred-heart
rider,mount-st-marys
quinnipiac,mount-st-marys
siena,mount-st-marys
manhattan,mount-st-marys
mount-st-marys,merrimack
mount-st-marys,saint-peter's
iona,mount-st-marys
mount-st-marys,niagara
mount-st-marys,canisius
mount-st-marys,saint-peter's
mount-st-marys,rider
fairfield,mount-st-marys
mount-st-marys,siena
quinnipiac,mount-st-marys
mount-st-marys,marist
opponent,mount-st-marys
mount-st-marys,marist
mount-st-marys,merrimack
mount-st-marys,iona
opponent,mount-st-marys
mount-st-marys,american
