winner,loser
nebraska-omaha,mid-america-christian
nebraska-omaha,stetson
minnesota,nebraska-omaha
nevada-las-vegas,nebraska-omaha
southern-utah,nebraska-omaha
alabama-state,nebraska-omaha
nebraska-omaha,lamar
abilene-christian,nebraska-omaha
montana-state,nebraska-omaha
nebraska-omaha,sacramento-state
northern-iowa,nebraska-omaha
nebraska-omaha,cal-poly
nebraska-omaha,mount-marty
nebraska-omaha,north-dakota
nebraska-omaha,north-dakota-state
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota-state
nebraska-omaha,denver
nebraska-omaha,st.-thomas
nebraska-omaha,oral-roberts
south-dakota,nebraska-omaha
nebraska-omaha,denver
nebraska-omaha,north-dakota
nebraska-omaha,north-dakota-state
south-dakota-state,nebraska-omaha
st.-thomas,nebraska-omaha
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota
nebraska-omaha,oral-roberts
opponent,nebraska-omaha
nebraska-omaha,kansas-city
nebraska-omaha,south-dakota
nebraska-omaha,st.-thomas
opponent,nebraska-omaha
st.-john's-(ny),nebraska-omaha
