winner,loser
new-mexico,nicholls-state
new-mexico,ucla
new-mexico,texas-a&m-corpus-christi
st.-john's-(ny),new-mexico
new-mexico,grambling
new-mexico,texas-southern
arizona-state,new-mexico
new-mexico,southern-california
new-mexico,san-jose-state
new-mexico-state,new-mexico
new-mexico,western-new-mexico
new-mexico,virginia-commonwealth
new-mexico,colorado-state
new-mexico,fresno-state
new-mexico,nevada
new-mexico,wyoming
new-mexico,san-diego-state
san-jose-state,new-mexico
new-mexico,boise-state
new-mexico,fresno-state
new-mexico,nevada-las-vegas
new-mexico,utah-state
new-mexico,colorado-state
new-mexico,air-force
new-mexico,wyoming
new-mexico,utah-state
boise-state,new-mexico
san-diego-state,new-mexico
new-mexico,air-force
new-mexico,nevada
new-mexico,nevada-las-vegas
opponent,new-mexico
new-mexico,san-jose-state
boise-state,new-mexico
opponent,new-mexico
