winner,loser
norfolk-state,penn-st.-wilkes-barre
norfolk-state,virginia-lynchburg
norfolk-state,james-madison
william-&-mary,norfolk-state
norfolk-state,hampton
stanford,norfolk-state
grand-canyon,norfolk-state
norfolk-state,uc-davis
norfolk-state,stony-brook
hofstra,norfolk-state
baylor,norfolk-state
northern-kentucky,norfolk-state
norfolk-state,alabama-state
norfolk-state,grambling
norfolk-state,high-point
tennessee,norfolk-state
norfolk-state,maryland-eastern-shore
norfolk-state,delaware-state
norfolk-state,coppin-state
morgan-state,norfolk-state
norfolk-state,washington-adventist
norfolk-state,howard
norfolk-state,south-carolina-state
norfolk-state,north-carolina-central
norfolk-state,maryland-eastern-shore
norfolk-state,delaware-state
norfolk-state,coppin-state
norfolk-state,morgan-state
south-carolina-state,norfolk-state
north-carolina-central,norfolk-state
norfolk-state,howard
opponent,norfolk-state
norfolk-state,maryland-eastern-shore
norfolk-state,morgan-state
norfolk-state,south-carolina-state
opponent,norfolk-state
florida,norfolk-state
