winner,loser
dayton,saint-francis-pa
saint-francis-pa,campbell
penn-state,saint-francis-pa
mount-st.-mary's,saint-francis-pa
saint-francis-pa,penn-st.-schuylkill
georgetown,saint-francis-pa
saint-francis-pa,lehigh
radford,saint-francis-pa
saint-francis-pa,penn-st.-shenango
niagara,saint-francis-pa
saint-francis-pa,franciscan
central-connecticut-state,saint-francis-pa
stonehill,saint-francis-pa
saint-francis-pa,mercyhurst
saint-francis-pa,fdu
long-island-university,saint-francis-pa
wagner,saint-francis-pa
saint-francis-pa,long-island-university
wagner,saint-francis-pa
mercyhurst,saint-francis-pa
saint-francis-pa,le-moyne
saint-francis-pa,chicago-state
stonehill,saint-francis-pa
central-connecticut-state,saint-francis-pa
saint-francis-pa,le-moyne
saint-francis-pa,fdu
saint-francis-pa,chicago-state
opponent,saint-francis-pa
saint-francis-pa,wagner
saint-francis-pa,long-island-university
saint-francis-pa,central-connecticut-state
opponent,saint-francis-pa
alabama-state,saint-francis-pa
