winner,loser
saint-marys-ca,towson
saint-marys-ca,chattanooga
saint-marys-ca,akron
saint-marys-ca,nebraska
saint-marys-ca,cal-state-stanislaus
saint-marys-ca,cal-poly
saint-marys-ca,southern-california
arizona-state,saint-marys-ca
saint-marys-ca,utsa
saint-marys-ca,utah
boise-state,saint-marys-ca
saint-marys-ca,merrimack
utah-state,saint-marys-ca
saint-marys-ca,pacific
saint-marys-ca,pepperdine
saint-marys-ca,portland
saint-marys-ca,loyola-marymount
saint-marys-ca,san-diego
saint-marys-ca,pepperdine
saint-marys-ca,san-francisco
saint-marys-ca,washington-state
saint-marys-ca,santa-clara
saint-marys-ca,gonzaga
san-francisco,saint-marys-ca
saint-marys-ca,oregon-state
saint-marys-ca,santa-clara
saint-marys-ca,washington-state
saint-marys-ca,portland
saint-marys-ca,gonzaga
saint-marys-ca,loyola-marymount
saint-marys-ca,oregon-state
opponent,saint-marys-ca
saint-marys-ca,pepperdine
gonzaga,saint-marys-ca
opponent,saint-marys-ca
saint-marys-ca,vanderbilt
