winner,loser
st-johns-ny,fordham
st-johns-ny,quinnipiac
st-johns-ny,wagner
st-johns-ny,virginia
st-johns-ny,harvard
st-johns-ny,kansas-state
st-johns-ny,depaul
st-johns-ny,providence
st-johns-ny,delaware
st-johns-ny,butler
st-johns-ny,xavier
st-johns-ny,villanova
st-johns-ny,georgetown
st-johns-ny,seton-hall
st-johns-ny,xavier
st-johns-ny,georgetown
st-johns-ny,providence
st-johns-ny,connecticut
villanova,st-johns-ny
st-johns-ny,depaul
st-johns-ny,connecticut
st-johns-ny,butler
st-johns-ny,seton-hall
opponent,st-johns-ny
st-johns-ny,butler
opponent,st-johns-ny
st-johns-ny,omaha
arkansas,st-johns-ny
