winner,loser
tennessee,gardner-webb
tennessee,austin-peay
tennessee,virginia
tennessee,tennessee-martin
tennessee,syracuse
tennessee,miami-(fl)
tennessee,illinois
tennessee,western-carolina
tennessee,middle-tennessee
tennessee,arkansas
florida,tennessee
tennessee,texas
tennessee,georgia
kentucky,tennessee
tennessee,florida
tennessee,missouri
tennessee,oklahoma
kentucky,tennessee
tennessee,texas-a&m
tennessee,louisiana-state
tennessee,south-carolina
opponent,tennessee
tennessee,texas
florida,tennessee
opponent,tennessee
tennessee,wofford
tennessee,ucla
tennessee,kentucky
