winner,loser
ucf,texas-am
texas-am,east-texas-a&m
texas-am,lamar
texas-am,ohio-state
texas-am,southern
oregon,texas-am
texas-am,creighton
texas-am,rutgers
texas-am,wake-forest
texas-am,texas-tech
texas-am,purdue
texas-am,houston-christian
texas-am,abilene-christian
texas-am,texas
texas-am,oklahoma
alabama,texas-am
kentucky,texas-am
texas-am,louisiana-state
texas-am,mississippi
texas,texas-am
texas-am,oklahoma
texas-am,south-carolina
texas-am,missouri
texas-am,georgia
texas-am,arkansas
mississippi-state,texas-am
tennessee,texas-am
vanderbilt,texas-am
florida,texas-am
texas-am,louisiana-state
opponent,texas-am
texas,texas-am
opponent,texas-am
texas-am,yale
michigan,texas-am
