winner,loser
texas-tech,bethune-cookman
texas-tech,northwestern-state
texas-tech,wyoming
texas-tech,arkansas-pine-bluff
saint-joseph's,texas-tech
texas-tech,syracuse
texas-tech,northern-colorado
texas-tech,depaul
texas-a&m,texas-tech
texas-tech,oral-roberts
texas-tech,lamar
ucf,texas-tech
texas-tech,utah
texas-tech,kansas-state
texas-tech,cincinnati
texas-tech,oklahoma-state
texas-tech,tcu
texas-tech,arizona-state
texas-tech,oklahoma-state
tcu,texas-tech
texas-tech,west-virginia
texas-tech,kansas
texas-tech,colorado
texas-tech,arizona-state
opponent,texas-tech
opponent,texas-tech
texas-tech,unc-wilmington
texas-tech,drake
texas-tech,arkansas
