winner,loser
wisconsin,holy-cross
wisconsin,montana-state
wisconsin,appalachian-state
wisconsin,arizona
wisconsin,texas-rio-grande-valley
wisconsin,ucf
wisconsin,pittsburgh
wisconsin,chicago-state
illinois,wisconsin
wisconsin,butler
wisconsin,detroit-mercy
wisconsin,iowa
wisconsin,rutgers
wisconsin,minnesota
wisconsin,ohio-state
wisconsin,southern-california
ucla,wisconsin
wisconsin,nebraska
maryland,wisconsin
wisconsin,northwestern
wisconsin,indiana
wisconsin,iowa
wisconsin,purdue
wisconsin,illinois
oregon,wisconsin
wisconsin,washington
wisconsin,minnesota
penn-state,wisconsin
opponent,wisconsin
wisconsin,northwestern
wisconsin,ucla
opponent,wisconsin
wisconsin,montana
brigham-young,wisconsin
