winner,loser
wofford,erskine
lipscomb,wofford
presbyterian,wofford
wofford,st.-thomas
milwaukee,wofford
portland-state,wofford
wofford,north-alabama
wofford,gardner-webb
elon,wofford
college-of-charleston,wofford
wofford,saint-louis
wofford,kentucky-christian
unc-greensboro,wofford
wofford,east-tennessee-state
wofford,western-carolina
wofford,furman
chattanooga,wofford
wofford,mercer
wofford,the-citadel
samford,wofford
virginia-military-institute,wofford
wofford,unc-greensboro
chattanooga,wofford
wofford,mercer
wofford,the-citadel
samford,wofford
wofford,virginia-military-institute
east-tennessee-state,wofford
wofford,western-carolina
furman,wofford
opponent,wofford
wofford,east-tennessee-state
wofford,virginia-military-institute
wofford,furman
opponent,wofford
